"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","US_004.00 | Your cart > Страница корзины. Кнопка 'Корзина'.","TC_004.01.01 | Your cart > Cоответствие выбранного товара добавленному в 'Корзину'.","0","0","1","0","0"
"","US_001.00 | Login page > Страница авторизации.","TC_001.00.04 | Login page > Авторизация при вводе в поле 'Password' валидного логина","0","0","16","0","0"
"","Sauce Labs","ТС_001_01 это пример теста","0","0","1","0","0"
"","US_010.00 | Filter","TC_010.00.02 | Filter > Работа фильтра на странице 'Products' (Z-A).","0","0","1","0","0"
"","US_001.00 | Login page > Страница авторизации.","TC_001.00.02 | Login page > Авторизация при пустом поле 'Password'","0","0","4","0","0"
"","US_002.00 | Products > Страница выбора товаров.","TC_002.04.00 | Products > Ссылка на страницу товара из карточки товара 'Products'.","0","0","1","0","0"
"","US_010.00 | Filter","TC_010.00.03 | Filter > Работа фильтра на странице 'Products' (A-Z).","0","0","1","0","0"
"","US_004.00 | Your cart > Страница корзины. Кнопка 'Корзина'.","TC_004.03.01 | Your cart > Оформление заказа с пустой Корзиной.","0","0","0","1","0"
"","US_003.00 | Inventory item > Страница товара.","TC_003.00.03 | Inventory item > Удаление товара из корзины на странице 'Inventory item'.","0","0","1","0","0"
"","US_002.00 | Products > Страница выбора товаров.","TC_002.02.01 | Products > Цена товара на странице 'Products' - Backpack","0","0","1","0","0"
"","US_001.00 | Login page > Страница авторизации.","AT_001.00.12 | Login page > Авторизация при вводе в поле 'Username' с латинскими и русскими буквами","0","0","1","0","0"
"","US_001.00 | Login page > Страница авторизации.","TC_001.00.03 | Login page > Авторизация при пустом поле 'Username'","0","0","1","0","0"
"","US_003.00 | Inventory item > Страница товара.","TC_003.00.02 | Inventory item > Добавление товара в корзину на странице 'Inventory item'","0","0","1","0","0"
"","US_010.00 | Filter","TC_010.00.04 | Filter > Работа фильтра Price на странице 'Products' (low to high)","0","0","1","0","0"
"","US_001.00 | Login page > Страница авторизации.","TC_001.00.08 | Login page > Авторизация при вводе пробелов в поле 'Password'","0","0","4","0","0"
"","US_010.00 | Filter","TC_010.00.01 | Filter > Проверка наличия фильтра на странице 'Products'","0","0","1","0","0"
"","US_004.00 | Your cart > Страница корзины. Кнопка 'Корзина'.","TC_004-04-00 | Your cart >  проверить в корзине соответствие названия, описания, цены.","0","0","1","0","0"
"","US_001.00 | Login page > Страница авторизации.","TC_001.00.01 Login page > Авторизация под валидными данными","0","0","3","1","0"
"","US_002.00 | Products > Страница выбора товаров.","TC_002.01.01 | Products > Количество товаров на странице 'Products'","0","0","1","0","0"
"","US_001.00 | Login page > Страница авторизации.","TC_001.00.07 | Login Page > Авторизация при вводе пробелов в поле Username'","0","0","1","0","0"
"","US_010.00 | Filter","TC_010.00.05 | Filter > Работа фильтра Price на странице 'Products' (high to low)","0","0","1","0","0"
"","US_004.00 | Your cart > Страница корзины. Кнопка 'Корзина'.","TC_004-01-04 | Your cart >  проверить количество выбранного товара в корзине.","0","0","1","0","0"
"","Sauce Labs","ТС_001_02 это пример теста","0","0","1","0","0"
"","US_002.00 | Products > Страница выбора товаров.","TC_002.01.02 | Products > Фото товара на странице 'Products'","0","0","1","0","0"
"","US_001.00 | Login page > Страница авторизации.","TC_001.00.10 | Login page > Авторизация заблокированного пользователя","0","0","1","0","0"
"","US_003.00 | Inventory item > Страница товара.","TC_003.00.01 | Inventory item > Переход на страницу товара по клику на картинку товара в его карточке.","0","0","1","0","0"
